"RowLabels","dba","address","licensenumber","licensetype","inspectorassigned","inspectiondate","inspectionpurpose"
"1","7- ELEVEN","2010 N DAMEN AVE CHICAGO, IL 60647","1337708","Food","Joseph Jantke",2014-09-02,"Canvass"
"2","SAM'S QUICKSTOP","758 S WESTERN AVE CHICAGO, IL 60612","2349814","Food","Michelle Jackson",2014-09-02,"License Re-Inspection"
"3","BUCKTOWN ACADEMY","1903 N MILWAUKEE AVE CHICAGO, IL 60647 ","2293924","Food","Michelle Jackson",2014-09-02,"License"
"4","THE PEPPER KITCHEN INC","3441 N SHEFFIELD AVE CHICAGO, IL 60657","38820","Food","Kyle Kirkegaard",2014-09-02,"Canvass"
"5","SUPERMERCADO LA RAZA","1645 W 47TH ST CHICAGO, IL 60609","2353934","Food","Judith Mann-Hamdan",2014-09-03,"License Re-Inspection"
"6","DUNKIN DONUTS/ BASKIN ROBBINS/ TOGO'S","7905 S CICERO AVE CHICAGO, IL 60652","1596892","Food","Kimberly Franklin",2014-09-03,"Recent Inspection"
"7","BEER","3415 N CLARK ST CHICAGO, IL 60657","1873823","Food","Kyle Kirkegaard",2014-09-03,"Canvass Re-Inspection"
"8","SALUD ES VIDA","2151 W CERMAK RD CHICAGO, IL 60608","2234228","Food","Alejandro Delgado",2014-09-03,"Canvass Re-Inspection"
"9","EL METRO","1959 W CHICAGO AVE CHICAGO, IL 60622","2349434","Food","Patricia Coats",2014-09-03,"License"
"10","BURGER KING #207","2700 S KEDZIE AVE CHICAGO, IL 60623","1473478","Food","Denise Batinich",2014-09-03,"Canvass"
"11","FORT DEARBORN ELEMENTARY","9025 S Throop (1300W) CHICAGO, IL 60620","CPS23241","Food","Sandra Balfour",2014-09-03,"Canvass"
"12","THE SALVATION ARMY HEAD START","5317 W CHICAGO AVE CHICAGO, IL 60651 ","2326966","Food","Jewel Walker",2014-09-03,"License Re-Inspection"
"13","DUNKIN BASKIN","2247B N MILWAUKEE AVE CHICAGO, IL 60647","1492714","Food","Joseph Jantke",2014-09-03,"Canvass"
"14","EL TACONAZO RESTAURANT","5849 S KEDZIE AVE CHICAGO, IL 60629","1964480","Food","Joyce Galvin",2014-09-03,"Complaint"
"15","RAINBOW BEACH CARE CENTER","7325 S EXCHANGE AVE CHICAGO, IL 60649","2340642","Food","Cecile Coffman",2014-09-03,"License Re-Inspection"
"16","SUBWAY","953 W WEBSTER AVE CHICAGO, IL 60614","2354661","Food","Rosarita Buco",2014-09-03,"License"
"17","ROCKY PANCAKE HOUSE","2948 E 83RD ST CHICAGO, IL 60617","2299323","Food","Sharon Lewis",2014-09-03,"Canvass"
"18","MARGARET'S","5134 W IRVING PARK RD CHICAGO, IL 60641","1953289","Food","Blesilda Guillen",2014-09-03,"Canvass"
"19","FEAST","1616 N DAMEN AVE CHICAGO, IL 60647","47621","Food","Michelle Jackson",2014-09-03,"Canvass Re-Inspection"
"20","SPEEDY CONVIENIENT","5000 S ASHLAND AVE CHICAGO, IL 60609 ","2079011","Food","Judith Mann-Hamdan",2014-09-03,"Complaint"
"21","SALVATION ARMY - SODEXHO","700 W BROMPTON AVE CHICAGO, IL 60657","20476","Food","Kyle Kirkegaard",2014-09-03,"Canvass"
"22","McDONALD'S","70 E GARFIELD BLVD CHICAGO, IL 60615","1302136","Food","Jacqueline Edwards",2014-09-03,"Complaint"
"23","TWO BROTHERS FOOD MART,INC.","3728 W DIVISION AVE CHICAGO, IL 60651 ","2354498","Food","Jewel Walker",2014-09-03,"License"
"24","PHOENIX RESTAURANT OF IL.L.L.C","2131 S ARCHER AVE CHICAGO, IL 60616","47719","Food","Molly Lynch",2014-09-03,"Complaint Re-Inspection"
