"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","pass_flag"
"3300","565609","1000049","Restaurant","Risk 1 (High)",2011-11-15,"Canvass","Pass w/ Conditions",1,0,2,0,0,2,3,1.05753424657534,0,0
"36473","1184517","1000049","Restaurant","Risk 1 (High)",2012-08-15,"Canvass","Pass",0,0,4,0,1,0,2,0.747945205479452,0,1
"32276","1198680","1000245","Restaurant","Risk 1 (High)",2013-01-29,"Canvass","Fail",0,2,8,0,0,1,5,0.956164383561644,0,0
"90239","1198435","1000325","Restaurant","Risk 1 (High)",2012-09-13,"Canvass","Fail",0,2,6,0,1,0,4,1.8958904109589,0,0
"53986","1326874","1000572","Grocery Store","Risk 1 (High)",2013-04-10,"Canvass","Pass w/ Conditions",2,0,2,0,0,0,3,0.402739726027397,0,0
"18782","1134330","1000612","Restaurant","Risk 1 (High)",2012-06-14,"Canvass","Pass",0,0,4,0,0,1,4,1.32602739726027,0,1
"36247","1353245","1000612","Restaurant","Risk 1 (High)",2013-06-21,"Canvass","Pass",0,0,2,0,0,0,4,1.01917808219178,0,1
"88729","1096289","1000894","Restaurant","Risk 1 (High)",2012-05-01,"Canvass","Pass",0,0,2,0,0,1,4,0.712328767123288,0,1
"22253","1114934","1000894","Restaurant","Risk 1 (High)",2013-07-24,"Canvass","Pass",0,0,5,0,0,0,2,1.23013698630137,0,1
"92404","1150883","1000978","Grocery Store","Risk 3 (Low)",2012-10-29,"Canvass","Pass",0,0,4,0,0,1,2,2,0,1
"57919","1106769","1001133","Restaurant","Risk 1 (High)",2013-08-19,"Canvass","Pass",0,0,9,0,0,0,0,2,1,1
"30102","670339","10139","Restaurant","Risk 2 (Medium)",2012-02-09,"Canvass","Pass",0,0,3,0,0,0,2,1.26301369863014,0,1
"60347","1154969","10139","Restaurant","Risk 2 (Medium)",2013-03-28,"Canvass","Pass",0,0,5,0,0,0,3,1.12876712328767,0,1
"48475","569695","10166","Restaurant","Risk 1 (High)",2011-11-15,"Canvass","Pass",0,0,3,0,0,0,1,1.07123287671233,0,1
"17294","1138662","10166","Restaurant","Risk 1 (High)",2012-11-30,"Canvass","Pass",0,0,3,0,0,0,3,1.04383561643836,0,1
"24960","1188324","10169","Restaurant","Risk 2 (Medium)",2012-08-28,"Canvass","Pass w/ Conditions",0,2,2,0,0,0,0,0.0164383561643836,0,0
"52918","1329309","10175","Other","Risk 3 (Low)",2013-05-28,"Canvass","Pass",0,0,5,0,0,0,0,2,1,1
"14738","670831","1021659","Restaurant","Risk 1 (High)",2012-02-27,"Canvass","Fail",0,1,5,0,0,0,0,2,1,0
"21821","1106376","1021782","Restaurant","Risk 2 (Medium)",2012-11-08,"Canvass","Fail",0,2,2,0,0,0,6,2,0,0
"75783","569642","1021790","Restaurant","Risk 1 (High)",2011-10-21,"Canvass","Pass",0,0,3,0,0,0,2,0.997260273972603,0,1
"68378","1138582","1021790","Restaurant","Risk 1 (High)",2012-11-02,"Canvass","Pass",0,0,3,0,0,0,3,1.03561643835616,0,1
"39975","1154422","10228","Other","Risk 1 (High)",2012-06-26,"Canvass","Pass",0,0,6,0,0,0,4,0.934246575342466,0,1
"2977","557652","10229","Restaurant","Risk 1 (High)",2011-12-06,"Canvass","Fail",0,0,0,0,0,0,6,1.52602739726027,0,0
"22709","659732","10229","Restaurant","Risk 1 (High)",2011-12-16,"Canvass","Fail",0,1,2,1,0,0,0,0.0273972602739726,0,0
"64860","614718","10235","Restaurant","Risk 1 (High)",2012-01-24,"Canvass","Pass",0,0,6,0,0,0,0,2,1,1
"6642","1235663","10235","Restaurant","Risk 1 (High)",2013-02-25,"Canvass","Fail",0,1,3,0,0,0,6,1.09041095890411,0,0
"62612","1321662","10240","Restaurant","Risk 1 (High)",2013-01-31,"Canvass","Fail",0,1,6,0,0,1,6,1.71232876712329,0,0
"32126","547769","10306","Grocery Store","Risk 2 (Medium)",2011-10-25,"Canvass","Fail",0,3,7,0,0,2,2,1.61095890410959,0,0
"88124","1146406","10306","Grocery Store","Risk 2 (Medium)",2013-05-17,"Canvass","Fail",0,2,4,0,0,3,7,1.54246575342466,0,0
"24624","569661","10393","Restaurant","Risk 1 (High)",2011-10-28,"Canvass","Fail",0,1,5,0,0,0,0,2,1,0
"87270","1322056","10393","Restaurant","Risk 1 (High)",2013-02-26,"Canvass","Fail",0,2,3,0,0,0,3,0.76986301369863,0,0
"43637","1321404","10399","Restaurant","Risk 1 (High)",2013-01-17,"Canvass","Pass",0,0,4,0,0,1,5,1.32054794520548,0,1
"59256","1230142","10400","Grocery Store","Risk 1 (High)",2012-07-17,"Canvass","Pass w/ Conditions",1,0,5,0,0,2,3,1.8027397260274,0,0
"37602","1329235","10400","Grocery Store","Risk 1 (High)",2013-04-05,"Canvass","Fail",0,1,7,0,1,0,5,0.717808219178082,0,0
"68534","1184474","1042276","Restaurant","Risk 1 (High)",2012-07-26,"Canvass","Pass w/ Conditions",1,0,3,0,2,1,2,0.884931506849315,0,0
"86591","1322347","1042276","Restaurant","Risk 1 (High)",2013-01-30,"Canvass","Pass",0,0,2,0,1,0,3,0.515068493150685,0,1
"29135","659640","1042285","Grocery Store","Risk 1 (High)",2011-12-09,"Canvass","Fail",2,3,0,0,0,0,6,1.52054794520548,0,0
"55776","1184267","1042390","Restaurant","Risk 1 (High)",2012-04-18,"Canvass","Pass",0,0,3,0,0,1,3,0.923287671232877,0,1
"17816","1324358","1042390","Restaurant","Risk 1 (High)",2013-03-15,"Canvass","Pass",0,0,2,0,0,0,3,0.906849315068493,0,1
"72556","1110247","1042399","Restaurant","Risk 1 (High)",2012-09-28,"Canvass","Pass w/ Conditions",1,0,1,0,0,0,4,1.34794520547945,0,0
"52740","517503","1042702","Restaurant","Risk 1 (High)",2011-09-06,"Canvass","Pass w/ Conditions",1,1,7,0,0,0,2,1.02739726027397,0,0
"61954","1198909","1042702","Restaurant","Risk 1 (High)",2013-06-10,"Canvass","Fail",0,3,7,0,0,0,7,1.75342465753425,0,0
"33361","1305329","1042792","Restaurant","Risk 2 (Medium)",2013-06-20,"Canvass","Pass w/ Conditions",2,0,5,0,0,0,5,1.30684931506849,0,0
"21649","539436","1042895","Restaurant","Risk 1 (High)",2011-09-21,"Canvass","Pass w/ Conditions",0,1,6,0,0,0,5,0.783561643835616,0,0
"26037","1102216","1042895","Restaurant","Risk 1 (High)",2012-04-09,"Canvass","Fail",0,1,4,0,0,0,6,0.545205479452055,0,0
"66126","1286201","1042895","Restaurant","Risk 1 (High)",2012-10-30,"Canvass","Pass",0,0,4,0,0,1,4,0.534246575342466,0,1
"20691","1192208","1042895","Restaurant","Risk 1 (High)",2013-05-20,"Canvass","Pass w/ Conditions",1,0,4,0,0,0,4,0.553424657534247,0,0
"2353","1227240","1042910","Restaurant","Risk 1 (High)",2012-05-07,"Canvass","Fail",1,1,7,0,0,0,5,0.991780821917808,0,0
"31136","1305256","1042910","Restaurant","Risk 1 (High)",2013-04-15,"Canvass","Pass",0,0,4,0,0,1,7,0.917808219178082,0,1
"44874","1196241","1042933","Other","Risk 1 (High)",2012-04-03,"Canvass","Pass",0,0,3,0,0,1,4,0.723287671232877,0,1
"78942","1138306","1043118","Restaurant","Risk 1 (High)",2012-05-29,"Canvass","Pass",0,0,8,0,0,0,5,1.09041095890411,0,1
"17982","1110230","1043148","Grocery Store","Risk 1 (High)",2012-09-05,"Canvass","Fail",0,2,4,0,0,0,7,1.61369863013699,0,0
"20188","1092493","1043148","Grocery Store","Risk 1 (High)",2013-07-16,"Canvass","Pass w/ Conditions",1,0,3,0,0,2,4,0.841095890410959,0,0
"20030","1285661","1043368","Restaurant","Risk 2 (Medium)",2012-10-02,"Canvass","Pass",0,0,2,0,0,0,1,1.22191780821918,0,1
"61695","577662","1043422","Restaurant","Risk 1 (High)",2011-11-01,"Canvass","Pass",0,0,4,1,0,1,9,1.24383561643836,0,1
"63780","1202530","1043422","Restaurant","Risk 1 (High)",2012-11-26,"Canvass","Pass",0,0,3,0,0,0,4,1.07123287671233,0,1
"48624","1335487","1043422","Restaurant","Risk 1 (High)",2013-05-10,"Canvass","Pass",0,0,6,0,0,0,3,0.449315068493151,0,1
"24440","614499","1043471","Other","Risk 1 (High)",2011-09-26,"Canvass","Pass",0,0,1,0,0,0,0,1.07123287671233,0,1
"74316","519372","1043532","Other","Risk 1 (High)",2012-01-31,"Canvass","Fail",1,1,6,0,0,0,5,1.43013698630137,0,0
"34924","569594","1043583","Grocery Store","Risk 1 (High)",2011-09-26,"Canvass","Pass",0,0,5,0,0,0,2,0.934246575342466,0,1
"4750","1138668","1043583","Grocery Store","Risk 1 (High)",2012-12-05,"Canvass","Pass",0,0,5,0,0,0,5,1.19452054794521,0,1
"22956","539621","1043591","Restaurant","Risk 1 (High)",2012-01-30,"Canvass","Pass",0,0,6,0,0,1,3,1.59178082191781,0,1
"57212","1329286","1043591","Restaurant","Risk 1 (High)",2013-05-13,"Canvass","Pass",0,0,7,0,0,0,6,1.28219178082192,0,1
"93465","1202630","1043826","Other","Risk 1 (High)",2013-01-25,"Canvass","Pass",0,0,0,0,0,0,0,1.55342465753425,0,1
"23191","614696","1043966","Restaurant","Risk 1 (High)",2012-01-17,"Canvass","Pass",0,0,4,0,0,0,7,1.8,0,1
"67907","1198780","1044031","Restaurant","Risk 1 (High)",2013-03-28,"Canvass","Pass",0,0,2,0,0,0,4,2,0,1
"88850","1214320","1044092","Restaurant","Risk 1 (High)",2012-03-15,"Canvass","Fail",0,1,9,0,0,0,9,0.89041095890411,0,0
"9424","1084439","1044092","Restaurant","Risk 1 (High)",2013-03-13,"Canvass","Pass",0,0,4,0,0,1,5,0.964383561643836,0,1
"77155","1188338","1044156","Restaurant","Risk 3 (Low)",2012-09-04,"Canvass","Pass",0,0,3,0,0,0,0,0.0328767123287671,0,1
"46433","1198283","1044305","Restaurant","Risk 1 (High)",2012-05-22,"Canvass","Pass",0,0,4,0,0,0,4,1.01643835616438,0,1
"44195","1335312","1044305","Restaurant","Risk 1 (High)",2013-05-03,"Canvass","Pass",0,0,3,0,0,0,4,0.947945205479452,0,1
