"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","pass_flag","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","minDate","maxDate","payment_date","license_start_date","expiration_date","doing_business_as_name","address","city","state","zip_code","ward","precinct","police_district","license_description","latitude","longitude","location","criticalFound","ageAtInspection","consumption_on_premises_incidental_activity","tobacco_retail_over_counter","limited_business_license","package_goods","outdoor_patio","public_place_of_amusement","tavern","retail_food_establishment","caterers_liquor_license","filling_station","precipIntensity","temperatureMax","windSpeed","humidity","heat_burglary","heat_sanitation","heat_garbage"
"5","1326874","1000572","Grocery Store","Risk 1 (High)",2013-04-10,"Canvass","Pass w/ Conditions",0,2,0,2,0,0,0,3,0.402739726027397,0,2006-05-16,2016-03-15,2012-02-17,2012-03-16,2014-03-15,"JEWEL FOOD STORE #3030","7530 S STONY ISLAND AVE","CHICAGO","IL","60649","5","w_5_p_50","4","Retail Food Establishment",41.7578056585432,-87.5862682580187,"(41.75780565854321, -87.58626825801873)",1,6.90684931506849,0,0,1,0,0,0,0,0,0,0,0.00814,56.59,13.17,0.756666666666667,31.4839409636234,18.5322377577952,22.4782749957053
"7","1353245","1000612","Restaurant","Risk 1 (High)",2013-06-21,"Canvass","Pass",1,0,0,2,0,0,0,4,1.01917808219178,0,2006-02-16,2016-02-15,2012-01-25,2012-02-16,2014-02-15,"NAHA RESTAURANT","500 N CLARK ST","CHICAGO","IL","60654","42","w_42_p_46","18","Retail Food Establishment",41.8908622377298,-87.6312533312732,"(41.89086223772983, -87.63125333127317)",0,7.34783105022831,1,0,0,0,0,0,0,0,0,0,0,72.2266666666667,9.56666666666667,0.6,74.5641244847256,15.7008089556692,0.000118811952790102
"9","1114934","1000894","Restaurant","Risk 1 (High)",2013-07-24,"Canvass","Pass",1,0,0,5,0,0,0,2,1.23013698630137,0,2006-11-16,2016-10-15,2012-09-20,2012-10-16,2014-10-15,"Galileo's","1300 S LAKE SHORE DR","CHICAGO","IL","60605",NA,"w__p_","1","Retail Food Establishment",41.8657323122665,-87.6196686373198,"(41.865732312266495, -87.61966863731983)",0,6.69029680365297,1,0,0,0,0,0,0,0,0,0,0.000416666666666667,82.2066666666667,10.3833333333333,0.63,2.16284150448929,4.36358475098733,6.20013121103748
"12","670339","10139","Restaurant","Risk 2 (Medium)",2012-02-09,"Canvass","Pass",1,0,0,3,0,0,0,2,1.26301369863014,0,2006-11-16,2015-09-15,2011-08-17,2011-09-16,2013-09-15,"POPEYE'S CHICKEN RESTAURANT","616 E 103RD ST","CHICAGO","IL","60628","9","w_9_p_13","5","Retail Food Establishment",41.7075095655127,-87.6081828188711,"(41.70750956551268, -87.60818281887107)",0,5.23561643835616,0,0,0,0,0,0,0,0,0,0,0,33.86,11.3766666666667,0.746666666666667,34.1391144534291,1.7466968327029,34.426254783332
"13","1154969","10139","Restaurant","Risk 2 (Medium)",2013-03-28,"Canvass","Pass",1,0,0,5,0,0,0,3,1.12876712328767,0,2006-11-16,2015-09-15,2011-08-17,2011-09-16,2013-09-15,"POPEYE'S CHICKEN RESTAURANT","616 E 103RD ST","CHICAGO","IL","60628","9","w_9_p_13","5","Retail Food Establishment",41.7075095655127,-87.6081828188711,"(41.70750956551268, -87.60818281887107)",0,6.36700913242009,0,0,0,0,0,0,0,0,0,0,0,38.5433333333333,12.0266666666667,0.596666666666667,20.1974741831771,11.7545792228542,36.6940145792592
"14","569695","10166","Restaurant","Risk 1 (High)",2011-11-15,"Canvass","Pass",1,0,0,3,0,0,0,1,1.07123287671233,0,2006-05-16,2015-03-15,2011-03-10,2011-03-16,2013-03-15,"THE ARTS CLUB OF CHICAGO","201 E ONTARIO ST  1ST &","CHICAGO","IL","60611","42","w_42_p_41","18","Retail Food Establishment",41.8932535645753,-87.6225942872089,"(41.893253564575346, -87.6225942872089)",0,5.50422374429224,0,0,0,0,1,0,0,0,0,0,0.00014,61.02,14.1933333333333,0.636666666666667,12.3955280958601,17.9175178572461,0.000095094938139886
"17","1329309","10175","Other","Risk 3 (Low)",2013-05-28,"Canvass","Pass",1,0,0,5,0,0,0,0,2,1,2006-11-16,2015-10-15,2011-10-03,2011-10-16,2013-10-15,"K & H LOUNGE INC","3750-3752 N CENTRAL AVE  1ST","CHICAGO","IL","60634","38","w_38_p_47","16","Retail Food Establishment",41.9492458595123,-87.7670180131419,"(41.94924585951233, -87.76701801314188)",0,6.53413242009132,0,0,0,0,0,0,1,0,0,0,0.00073,60.8133333333333,7.02666666666667,0.683333333333333,6.51891318219913,15.1088097242615,27.1812833315063
"19","1106376","1021782","Restaurant","Risk 2 (Medium)",2012-11-08,"Canvass","Fail",0,0,2,2,0,0,0,6,2,0,2006-05-16,2015-04-15,2011-03-28,2011-04-16,2013-04-15,"Starbucks Coffee #2428","6738 N SHERIDAN RD","CHICAGO","IL","60626","49","w_49_p_9","24","Retail Food Establishment",42.0047156994786,-87.6610029599069,"(42.00471569947856, -87.66100295990694)",0,6.48778538812785,0,0,1,0,0,0,0,0,0,0,0.00144666666666667,43.1366666666667,6.19333333333333,0.753333333333333,21.2296853713061,49.1531464533661,12.6481950986218
"20","569642","1021790","Restaurant","Risk 1 (High)",2011-10-21,"Canvass","Pass",1,0,0,3,0,0,0,2,0.997260273972603,0,2006-05-16,2015-03-15,2011-03-04,2011-03-16,2013-03-15,"Cafe Nordstrom","55 E GRAND AVE","CHICAGO","IL","60611","42","w_42_p_22","18","Retail Food Establishment",41.8915907410835,-87.6258671372446,"(41.891590741083505, -87.62586713724458)",0,5.43561643835616,1,0,0,0,0,0,0,0,0,0,0.01197,49.2533333333333,18.21,0.773333333333333,6.8842378074109,13.7909919852911,0.0779703628475794
"21","1138582","1021790","Restaurant","Risk 1 (High)",2012-11-02,"Canvass","Pass",1,0,0,3,0,0,0,3,1.03561643835616,0,2006-05-16,2015-03-15,2011-03-04,2011-03-16,2013-03-15,"Cafe Nordstrom","55 E GRAND AVE","CHICAGO","IL","60611","42","w_42_p_22","18","Retail Food Establishment",41.8915907410835,-87.6258671372446,"(41.891590741083505, -87.62586713724458)",0,6.47123287671233,1,0,0,0,0,0,0,0,0,0,0,47.6466666666667,16.3833333333333,0.506666666666667,18.4600535196873,13.8477543203608,1.12095392224288
"24","659732","10229","Restaurant","Risk 1 (High)",2011-12-16,"Canvass","Fail",0,0,1,2,1,0,0,0,0.0273972602739726,0,2006-08-16,2016-08-15,2010-07-30,2010-08-16,2012-08-15,"CHICKEN INN","7536 N MILWAUKEE AVE","CHICAGO","IL","60631","41","w_41_p_1","16","Retail Food Establishment",42.0180788153111,-87.806979467898,"(42.01807881531112, -87.80697946789799)",0,5.337100456621,0,0,0,0,0,0,0,0,0,0,0.0163466666666667,52.49,13.32,0.79,2.96279578443468,6.23742424241924,5.02038572781148
"26","1235663","10235","Restaurant","Risk 1 (High)",2013-02-25,"Canvass","Fail",0,0,1,3,0,0,0,6,1.09041095890411,0,2006-08-16,2015-07-15,2011-07-15,2011-07-16,2013-07-15,"HAI YEN","1055 W ARGYLE ST 1ST","CHICAGO","IL","60640","48","w_48_p_55","20","Retail Food Establishment",41.9731717656326,-87.6571408311882,"(41.97317176563255, -87.65714083118823)",0,6.53436073059361,1,0,0,0,0,0,0,0,0,0,0.00103333333333333,34.06,10.6833333333333,0.736666666666667,12.023777260612,65.4831999044408,3.75859302760581
"28","547769","10306","Grocery Store","Risk 2 (Medium)",2011-10-25,"Canvass","Fail",0,0,3,7,0,0,2,2,1.61095890410959,0,2006-08-16,2016-08-15,2010-07-22,2010-08-16,2012-08-15,"FINE FAIR FOOD & LIQUOR","3357-3359 W 16TH ST","CHICAGO","IL","60623","24","w_24_p_12","10","Retail Food Establishment",41.8589206858733,-87.7101738892696,"(41.85892068587327, -87.71017388926957)",0,5.19452054794521,0,1,1,1,0,0,0,0,0,0,0.00371,65.9466666666667,7.49,0.616666666666667,46.2382885462885,24.7319915497985,63.50955085728
"30","569661","10393","Restaurant","Risk 1 (High)",2011-10-28,"Canvass","Fail",0,0,1,5,0,0,0,0,2,1,2006-05-16,2015-06-15,2011-07-22,2011-06-16,2013-06-15,"NORTHWESTERN MEMORIAL HOSPITAL (CAFETERIA-2ND)","251 E HURON ST 2ND","CHICAGO","IL","60611","42","w_42_p_41","18","Retail Food Establishment",41.8949033023554,-87.6207437262396,"(41.89490330235543, -87.62074372623964)",0,5.45479452054795,0,0,0,0,0,0,0,0,0,0,0.00164333333333333,59.1333333333333,12.7233333333333,0.683333333333333,2.96637999346021,14.2937131536603,0.00392022062916408
"35","1184474","1042276","Restaurant","Risk 1 (High)",2012-07-26,"Canvass","Pass w/ Conditions",0,1,0,3,0,2,1,2,0.884931506849315,0,2006-02-16,2015-02-15,2011-02-07,2011-02-16,2013-02-15,"SUBWAY SANDWICH SHOP","2809 N ASHLAND AVE","CHICAGO","IL","60657","32","w_32_p_10","19","Retail Food Establishment",41.9327030316339,-87.6682594142039,"(41.93270303163393, -87.66825941420389)",1,6.44372146118721,0,0,0,0,0,0,0,0,0,0,0.00700333333333333,93.3766666666667,11.2666666666667,0.576666666666667,29.5379749181573,22.4479201321139,18.8614482613678
"36","1322347","1042276","Restaurant","Risk 1 (High)",2013-01-30,"Canvass","Pass",1,0,0,2,0,1,0,3,0.515068493150685,0,2006-02-16,2015-02-15,2011-02-07,2011-02-16,2013-02-15,"SUBWAY SANDWICH SHOP","2809 N ASHLAND AVE","CHICAGO","IL","60657","32","w_32_p_10","19","Retail Food Establishment",41.9327030316339,-87.6682594142039,"(41.93270303163393, -87.66825941420389)",0,6.95890410958904,0,0,0,0,0,0,0,0,0,0,0.01161,48.6833333333333,13.2666666666667,0.856666666666667,20.4093534676163,23.8277803157015,21.1974728407564
"38","1184267","1042390","Restaurant","Risk 1 (High)",2012-04-18,"Canvass","Pass",1,0,0,3,0,0,1,3,0.923287671232877,0,2006-05-16,2016-05-15,2010-05-14,2010-05-16,2012-05-15,"THE DRUM & MONKEY","1435 W TAYLOR ST 1ST","CHICAGO","IL","60607","2","w_2_p_38","12","Retail Food Establishment",41.8692068665869,-87.6630873696548,"(41.869206866586865, -87.6630873696548)",0,5.92876712328767,0,0,0,0,0,0,1,0,0,0,0.0198833333333333,65.9333333333333,16.0333333333333,0.666666666666667,10.7137632765921,5.41490980874384,8.14048924913382
"39","1324358","1042390","Restaurant","Risk 1 (High)",2013-03-15,"Canvass","Pass",1,0,0,2,0,0,0,3,0.906849315068493,0,2006-05-16,2016-05-15,2012-05-01,2012-05-16,2014-05-15,"THE DRUM & MONKEY","1435 W TAYLOR ST 1ST","CHICAGO","IL","60607","2","w_2_p_38","12","Retail Food Establishment",41.8692068665869,-87.6630873696548,"(41.869206866586865, -87.6630873696548)",0,6.83561643835616,0,0,0,0,0,0,1,0,0,0,0.0000466666666666667,35.1233333333333,12.6033333333333,0.646666666666667,2.77374181922552,13.5192039226404,18.4724973054081
"43","1305329","1042792","Restaurant","Risk 2 (Medium)",2013-06-20,"Canvass","Pass w/ Conditions",0,2,0,5,0,0,0,5,1.30684931506849,0,2006-02-16,2014-01-15,2012-03-20,2012-01-16,2014-01-15,"Popeyes","5050 S CICERO AVE","CHICAGO","IL","60638","23","w_23_p_33","8","Retail Food Establishment",41.8006425535872,-87.7431134692047,"(41.800642553587245, -87.74311346920472)",1,7.34509132420091,0,0,0,0,0,0,0,0,0,0,0.00105333333333333,74.75,9.75666666666667,0.593333333333333,22.4098718682595,7.04569499004962,14.601262629638
"47","1192208","1042895","Restaurant","Risk 1 (High)",2013-05-20,"Canvass","Pass w/ Conditions",0,1,0,4,0,0,0,4,0.553424657534247,0,2006-02-16,2016-01-15,2012-01-09,2012-01-16,2014-01-15,"Skybridge Restaurant & Bar","11601 W TOUHY AVE CONCOURSE F T 2","CHICAGO","IL","60666","41","w_41_p_27","16","Retail Food Establishment",42.0085364008687,-87.9144284392705,"(42.008536400868735, -87.91442843927047)",1,7.2601598173516,1,0,0,0,0,0,0,0,0,0,0,72.0066666666667,6.62,0.596666666666667,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357675294820803,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000994594395322766,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000813090305077247
"53","1092493","1043148","Grocery Store","Risk 1 (High)",2013-07-16,"Canvass","Pass w/ Conditions",0,1,0,3,0,0,2,4,0.841095890410959,0,2006-05-16,2015-04-15,2013-04-03,2013-04-16,2015-04-15,"CARNIVAL GROCERY STORE","458 W DICKENS AVE","CHICAGO","IL","60614","43","w_43_p_19","18","Retail Food Establishment",41.9202201056737,-87.6412429212164,"(41.92022010567366, -87.64124292121636)",1,7.17260273972603,0,1,0,1,0,0,0,0,0,0,0.000613333333333333,81.5333333333333,7.11,0.66,11.5355250063118,16.8698640830743,15.4891511746841
"54","1285661","1043368","Restaurant","Risk 2 (Medium)",2012-10-02,"Canvass","Pass",1,0,0,2,0,0,0,1,1.22191780821918,0,2006-05-16,2015-04-15,2011-03-28,2011-04-16,2013-04-15,"STARBUCKS COFFEE #2445","1052-1070 W BRYN MAWR AVE","CHICAGO","IL","60660","48","w_48_p_15","20","Retail Food Establishment",41.9837803795335,-87.657310954085,"(41.9837803795335, -87.65731095408496)",0,6.38630136986301,0,0,1,0,0,0,0,0,0,0,0,66.51,7.66,0.643333333333333,30.3590910116006,16.9896990413203,3.29260013895655
"60","569594","1043583","Grocery Store","Risk 1 (High)",2011-09-26,"Canvass","Pass",1,0,0,5,0,0,0,2,0.934246575342466,0,2006-05-16,2015-03-15,2011-02-16,2011-03-16,2013-03-15,"Lake Shore Groceries","900 N LAKE SHORE DR","CHICAGO","IL","60611","42","w_42_p_5","18","Retail Food Establishment",41.8992809909197,-87.6188945123018,"(41.899280990919685, -87.61889451230181)",0,5.36712328767123,0,1,0,1,0,0,0,0,0,0,0.00176333333333333,60.8866666666667,7.21333333333333,0.763333333333333,1.25327510319934,2.74279497920605,0.0814081918561921
"62","539621","1043591","Restaurant","Risk 1 (High)",2012-01-30,"Canvass","Pass",1,0,0,6,0,0,1,3,1.59178082191781,0,2005-11-16,2015-10-15,2011-10-03,2011-10-16,2013-10-15,"BARBAKAN RESTAURANT","3143-3145 N CENTRAL AVE 1ST","CHICAGO","IL","60634","30","w_30_p_37","25","Retail Food Establishment",41.9380346831013,-87.7663320035548,"(41.93803468310132, -87.76633200355475)",0,6.20821917808219,1,0,0,0,0,0,0,0,0,0,0.00074,38.2533333333333,13.5366666666667,0.666666666666667,25.9468228102307,24.3968331124309,14.6025315074334
"72","1188244","1044375","Grocery Store","Risk 2 (Medium)",2012-07-06,"Canvass","Pass w/ Conditions",0,0,1,3,0,0,0,4,1.18082191780822,0,2006-11-16,2015-09-15,2011-09-08,2011-09-16,2013-09-15,"7-Eleven","4631 N WESTERN AVE","CHICAGO","IL","60625","47","w_47_p_42","19","Retail Food Establishment",41.9657916722175,-87.6886707653749,"(41.965791672217485, -87.68867076537488)",0,5.64098173515982,0,1,0,1,0,0,0,0,0,0,0,97.0133333333333,9.32,0.52,19.0359478985901,32.5084310797186,21.0577471708813
"74","614593","1044712","Restaurant","Risk 1 (High)",2011-11-08,"Canvass","Pass w/ Conditions",0,1,0,2,0,0,0,3,0.476712328767123,0,2006-05-16,2015-05-15,2011-05-16,2011-05-16,2013-05-15,"CHIPOTLE MEXICAN GRILL","10 E JACKSON BLVD","CHICAGO","IL","60604","42","w_42_p_9","1","Retail Food Establishment",41.8783315485648,-87.6273238973586,"(41.87833154856475, -87.62732389735858)",1,5.48504566210046,1,0,0,0,0,0,0,0,0,0,0.00159333333333333,56.4633333333333,11.56,0.656666666666667,9.5802552137358,37.2947565170811,0.00000596594053809753
"75","1114437","1044712","Restaurant","Risk 1 (High)",2012-08-29,"Canvass","Fail",0,0,2,6,0,1,0,2,0.805479452054795,0,2006-05-16,2015-05-15,2011-05-16,2011-05-16,2013-05-15,"CHIPOTLE MEXICAN GRILL","10 E JACKSON BLVD","CHICAGO","IL","60604","42","w_42_p_9","1","Retail Food Establishment",41.8783315485648,-87.6273238973586,"(41.87833154856475, -87.62732389735858)",0,6.29315068493151,1,0,0,0,0,0,0,0,0,0,0.0153066666666667,79.7166666666667,6.84666666666667,0.69,16.2119249822052,12.7937271642423,6.39070107956103
"78","1319601","1044743","Restaurant","Risk 2 (Medium)",2013-06-13,"Canvass","Pass w/ Conditions",0,1,0,5,0,0,0,2,1.84931506849315,0,2006-08-16,2016-06-15,2012-05-07,2012-06-16,2014-06-15,"BONNE SANTE HEALTH FOODS INC.","1512 E 53RD ST 1","CHICAGO","IL","60615","4","w_4_p_47","2","Retail Food Establishment",41.7996579169884,-87.5885781422829,"(41.79965791698844, -87.58857814228286)",1,6.83013698630137,0,0,1,0,0,0,0,0,0,0,0.0110566666666667,76.1733333333333,6.13333333333333,0.75,36.1301785903157,10.9951905315667,8.31740950693238
"81","1335279","1044752","Restaurant","Risk 1 (High)",2013-05-02,"Canvass","Pass",1,0,0,5,0,0,1,6,1.26575342465753,0,2006-02-16,2015-01-15,2013-01-15,2013-01-16,2015-01-15,"COCHIAROS PIZZA #2","4741 W FULLERTON AVE","CHICAGO","IL","60639","31","w_31_p_42","25","Retail Food Establishment",41.9241406349769,-87.7455293386497,"(41.92414063497689, -87.74552933864975)",0,7.21084474885845,0,0,0,0,0,0,0,0,0,0,0,78.85,13.2866666666667,0.57,31.8311617746214,12.1392485691529,13.7090284420381
