"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","pass_flag","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","minDate","maxDate","payment_date","license_start_date","expiration_date","doing_business_as_name","address","city","state","zip_code","ward","precinct","police_district","license_description","latitude","longitude","location","criticalFound","ageAtInspection","consumption_on_premises_incidental_activity","tobacco_retail_over_counter","limited_business_license","package_goods","outdoor_patio","public_place_of_amusement","tavern","retail_food_establishment","caterers_liquor_license","filling_station","precipIntensity","temperatureMax","windSpeed","humidity","heat_burglary","heat_sanitation","heat_garbage"
"4","1198435","1000325","Restaurant","Risk 1 (High)",2012-09-13,"Canvass","Fail",0,0,2,6,0,1,0,4,1.8958904109589,0,2006-02-16,2013-02-15,2011-02-10,2011-02-16,2013-02-15,"BRIDGET MCNEILL'S","420 W BELMONT AVE","CHICAGO","IL","60657","44","w_44_p_1","19","Retail Food Establishment",41.9402128873397,-87.6404497737375,"(41.94021288733969, -87.64044977373753)",0,6.57796803652968,1,0,0,0,1,0,0,0,0,0,0.0000966666666666667,80.7033333333333,10.25,0.536666666666667,41.5990321663087,28.5085788049314,28.7710381508607
"8","1096289","1000894","Restaurant","Risk 1 (High)",2012-05-01,"Canvass","Pass",1,0,0,2,0,0,1,4,0.712328767123288,0,2006-11-16,2016-10-15,2010-08-26,2010-10-16,2012-10-15,"Galileo's","1300 S LAKE SHORE DR","CHICAGO","IL","60605",NA,"w__p_","1","Retail Food Establishment",41.8657323122665,-87.6196686373198,"(41.865732312266495, -87.61966863731983)",0,5.4601598173516,1,0,0,0,0,0,0,0,0,0,0.00950666666666667,54.6866666666667,11.5333333333333,0.716666666666667,6.47335989110903,2.27101176732601,2.83815533703428
"10","1150883","1000978","Grocery Store","Risk 3 (Low)",2012-10-29,"Canvass","Pass",1,0,0,4,0,0,1,2,2,0,2006-11-16,2014-10-15,2012-09-20,2012-10-16,2014-10-15,"J K & S FOOD & LIQUOR","503 W 59TH ST","CHICAGO","IL","60621","20","w_20_p_55","7","Retail Food Establishment",41.7870390747415,-87.6378127281997,"(41.7870390747415, -87.63781272819968)",0,5.9560502283105,0,1,0,1,0,0,0,0,0,0,0,47.49,15.0366666666667,0.573333333333333,28.2360778303009,12.4935395222262,9.63373836768526
"11","1106769","1001133","Restaurant","Risk 1 (High)",2013-08-19,"Canvass","Pass",1,0,0,9,0,0,0,0,2,1,2006-02-16,2015-02-15,2013-02-05,2013-02-16,2015-02-15,"TUTTO FRESCO","3829 N BROADWAY   1ST","CHICAGO","IL","60613","46","w_46_p_5","19","Retail Food Establishment",41.9520913157013,-87.6494857638008,"(41.95209131570125, -87.64948576380081)",0,7.50947488584475,1,0,0,0,0,0,0,0,0,0,0,76.5766666666667,5.73666666666667,0.61,19.7588558271304,25.4350577629215,9.8003441640215
"23","557652","10229","Restaurant","Risk 1 (High)",2011-12-06,"Canvass","Fail",0,0,0,0,0,0,0,6,1.52602739726027,0,2006-08-16,2016-08-15,2010-07-30,2010-08-16,2012-08-15,"CHICKEN INN","7536 N MILWAUKEE AVE","CHICAGO","IL","60631","41","w_41_p_1","16","Retail Food Establishment",42.0180788153111,-87.806979467898,"(42.01807881531112, -87.80697946789799)",0,5.30970319634703,0,0,0,0,0,0,0,0,0,0,0.00433333333333333,47.6366666666667,14.0466666666667,0.763333333333333,2.92058357196045,5.74780108126175,6.88396945207869
"25","614718","10235","Restaurant","Risk 1 (High)",2012-01-24,"Canvass","Pass",1,0,0,6,0,0,0,0,2,1,2006-08-16,2015-07-15,2011-07-15,2011-07-16,2013-07-15,"HAI YEN","1055 W ARGYLE ST 1ST","CHICAGO","IL","60640","48","w_48_p_55","20","Retail Food Establishment",41.9731717656326,-87.6571408311882,"(41.97317176563255, -87.65714083118823)",0,5.4439497716895,1,0,0,0,0,0,0,0,0,0,0.00416333333333333,39.2233333333333,14.7966666666667,0.826666666666667,39.1146838656883,37.4907825391712,13.9535278262158
"29","1146406","10306","Grocery Store","Risk 2 (Medium)",2013-05-17,"Canvass","Fail",0,0,2,4,0,0,3,7,1.54246575342466,0,2006-08-16,2016-08-15,2012-08-10,2012-08-16,2014-08-15,"FINE FAIR FOOD & LIQUOR","3357-3359 W 16TH ST","CHICAGO","IL","60623","24","w_24_p_12","10","Retail Food Establishment",41.8589206858733,-87.7101738892696,"(41.85892068587327, -87.71017388926957)",0,6.75616438356164,0,1,0,1,0,0,0,0,0,0,0,79.4,9.33,0.44,50.167146053415,38.1522345093575,48.0856874873861
"40","1110247","1042399","Restaurant","Risk 1 (High)",2012-09-28,"Canvass","Pass w/ Conditions",0,1,0,1,0,0,0,4,1.34794520547945,0,2006-02-16,2016-02-15,2012-01-05,2012-02-16,2014-02-15,"Lou Malnati's Pizzeria","956-958 W WRIGHTWOOD AVE","CHICAGO","IL","60614","43","w_43_p_22","19","Retail Food Establishment",41.9291199488324,-87.6535918619722,"(41.92911994883241, -87.65359186197217)",1,6.61906392694064,1,0,0,0,0,0,0,0,0,0,0,67.5066666666667,10.5166666666667,0.643333333333333,54.3710376999075,28.4964189945777,18.2132301003402
"45","1102216","1042895","Restaurant","Risk 1 (High)",2012-04-09,"Canvass","Fail",0,0,1,4,0,0,0,6,0.545205479452055,0,2006-02-16,2016-01-15,2012-01-09,2012-01-16,2014-01-15,"Skybridge Restaurant & Bar","11601 W TOUHY AVE CONCOURSE F T 2","CHICAGO","IL","60666","41","w_41_p_27","16","Retail Food Establishment",42.0085364008687,-87.9144284392705,"(42.008536400868735, -87.91442843927047)",0,6.14783105022831,1,0,0,0,0,0,0,0,0,0,0,60.47,11.0366666666667,0.493333333333333,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015881483441115,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102910187460302,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000348202750421937
"51","1138306","1043118","Restaurant","Risk 1 (High)",2012-05-29,"Canvass","Pass",1,0,0,8,0,0,0,5,1.09041095890411,0,2006-05-16,2015-03-15,2011-03-01,2011-03-16,2013-03-15,"BAISI THAI","900 N MICHIGAN AVE LG 6","CHICAGO","IL","60611","42","w_42_p_61","18","Retail Food Establishment",41.8992485970363,-87.6242749782054,"(41.89924859703626, -87.62427497820545)",0,6.04109589041096,1,0,0,0,0,0,0,0,0,0,0.00009,88.4433333333333,12.93,0.473333333333333,21.6677417082676,6.98526776157673,0.56760732226584
