"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","pass_flag","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","minDate","maxDate","payment_date","license_start_date","expiration_date","doing_business_as_name","address","city","state","zip_code","ward","precinct","police_district","license_description","latitude","longitude","location","criticalFound","ageAtInspection","consumption_on_premises_incidental_activity","tobacco_retail_over_counter","limited_business_license","package_goods","outdoor_patio","public_place_of_amusement","tavern","retail_food_establishment","caterers_liquor_license","filling_station","precipIntensity","temperatureMax","windSpeed","humidity","heat_burglary","heat_sanitation","heat_garbage"
"1","565609","1000049","Restaurant","Risk 1 (High)",2011-11-15,"Canvass","Pass w/ Conditions",0,1,0,2,0,0,2,3,1.05753424657534,0,2006-05-16,2016-05-15,2010-04-19,2010-05-16,2012-05-15,"PEREZ MEXICAN FOOD","853-855 W RANDOLPH ST 1ST","CHICAGO","IL","60607","27","w_27_p_1","12","Retail Food Establishment",41.884261422,-87.6495341312589,"(41.88426142200001, -87.6495341312589)",1,5.50422374429224,1,0,0,0,0,0,0,0,0,0,0.00014,61.02,14.1933333333333,0.636666666666667,17.7969756413133,20.2855163214291,5.20617788107669
"2","1184517","1000049","Restaurant","Risk 1 (High)",2012-08-15,"Canvass","Pass",1,0,0,4,0,1,0,2,0.747945205479452,0,2006-05-16,2016-05-15,2012-04-12,2012-05-16,2014-05-15,"PEREZ MEXICAN FOOD","853-855 W RANDOLPH ST 1ST","CHICAGO","IL","60607","27","w_27_p_1","12","Retail Food Establishment",41.884261422,-87.6495341312589,"(41.88426142200001, -87.6495341312589)",0,6.25479452054795,1,0,0,0,0,0,0,0,0,0,0.00428333333333333,74.9,4.74333333333333,0.723333333333333,7.84334400866967,11.4506300488124,2.11450490571911
"3","1198680","1000245","Restaurant","Risk 1 (High)",2013-01-29,"Canvass","Fail",0,0,2,8,0,0,1,5,0.956164383561644,0,2006-05-16,2015-04-15,2011-03-28,2011-04-16,2013-04-15,"DUFFY'S TAVERN & GRILLE","420 1/2 W DIVERSEY PKWY","CHICAGO","IL","60614","44","w_44_p_8","19","Retail Food Establishment",41.9330040997314,-87.6401862908715,"(41.93300409973139, -87.64018629087145)",0,6.71244292237443,1,1,0,0,0,1,0,0,1,0,0.00419666666666667,38.2466666666667,10.94,0.753333333333333,26.8871111992189,25.8726346178047,10.7497324842018
"6","1134330","1000612","Restaurant","Risk 1 (High)",2012-06-14,"Canvass","Pass",1,0,0,4,0,0,1,4,1.32602739726027,0,2006-02-16,2016-02-15,2012-01-25,2012-02-16,2014-02-15,"NAHA RESTAURANT","500 N CLARK ST","CHICAGO","IL","60654","42","w_42_p_46","18","Retail Food Establishment",41.8908622377298,-87.6312533312732,"(41.89086223772983, -87.63125333127317)",0,6.32865296803653,1,0,0,0,0,0,0,0,0,0,0,78.4233333333333,10.7933333333333,0.516666666666667,25.7104126349498,28.5657532089707,0.207927507703438
"15","1138662","10166","Restaurant","Risk 1 (High)",2012-11-30,"Canvass","Pass",1,0,0,3,0,0,0,3,1.04383561643836,0,2006-05-16,2015-03-15,2011-03-10,2011-03-16,2013-03-15,"THE ARTS CLUB OF CHICAGO","201 E ONTARIO ST  1ST &","CHICAGO","IL","60611","42","w_42_p_41","18","Retail Food Establishment",41.8932535645753,-87.6225942872089,"(41.893253564575346, -87.6225942872089)",0,6.54805936073059,0,0,0,0,1,0,0,0,0,0,0,43.5133333333333,9.22333333333333,0.526666666666667,16.7652437890178,2.35515794092942,0.338934519439374
"16","1188324","10169","Restaurant","Risk 2 (Medium)",2012-08-28,"Canvass","Pass w/ Conditions",0,0,2,2,0,0,0,0,0.0164383561643836,0,2006-11-16,2015-09-15,2011-09-08,2011-09-16,2013-09-15,"CENTER RESTAURANT BAR","3039 W LAWRENCE AVE  1","CHICAGO","IL","60625","33","w_33_p_26","17","Retail Food Establishment",41.9683713966548,-87.7051824813287,"(41.968371396654824, -87.70518248132869)",0,5.78618721461187,1,0,0,0,0,0,0,0,0,0,0.0173333333333333,82.9,7.69666666666667,0.63,25.0091208811338,17.1249918539375,3.09365493051405
"18","670831","1021659","Restaurant","Risk 1 (High)",2012-02-27,"Canvass","Fail",0,0,1,5,0,0,0,0,2,1,2006-08-16,2013-07-15,2011-07-12,2011-07-16,2013-07-15,"CAFE HOANG","1010 W ARGYLE ST 1ST","CHICAGO","IL","60640","46","w_46_p_40","20","Retail Food Establishment",41.9734150119615,-87.6554223093478,"(41.973415011961535, -87.65542230934777)",0,5.537100456621,0,0,0,0,0,0,0,0,0,0,0.00279666666666667,41.3533333333333,15.19,0.686666666666667,34.6505784947026,47.9357181976508,0.28601156241818
"27","1321662","10240","Restaurant","Risk 1 (High)",2013-01-31,"Canvass","Fail",0,0,1,6,0,0,1,6,1.71232876712329,0,2006-02-16,2014-05-15,2012-04-13,2012-05-16,2014-05-15,"MOM'S BAKE SHOPPE & RESTAURANT","2415 W PETERSON AVE","CHICAGO","IL","60659","40","w_40_p_15","20","Retail Food Establishment",41.9903835847724,-87.6903184871278,"(41.99038358477244, -87.6903184871278)",0,6.96164383561644,0,0,0,0,0,0,0,0,0,0,0.0145866666666667,53.4966666666667,13.34,0.9,15.4275529937615,17.9424509048879,6.88079828386562
"31","1322056","10393","Restaurant","Risk 1 (High)",2013-02-26,"Canvass","Fail",0,0,2,3,0,0,0,3,0.76986301369863,0,2006-05-16,2015-06-15,2011-07-22,2011-06-16,2013-06-15,"NORTHWESTERN MEMORIAL HOSPITAL (CAFETERIA-2ND)","251 E HURON ST 2ND","CHICAGO","IL","60611","42","w_42_p_41","18","Retail Food Establishment",41.8949033023554,-87.6207437262396,"(41.89490330235543, -87.62074372623964)",0,6.78915525114155,0,0,0,0,0,0,0,0,0,0,0.000186666666666667,35.1,8.44,0.69,20.8200930185328,4.56541806836945,0.0895805094940387
"32","1321404","10399","Restaurant","Risk 1 (High)",2013-01-17,"Canvass","Pass",1,0,0,4,0,0,1,5,1.32054794520548,0,2006-02-16,2016-01-15,2012-01-12,2012-01-16,2014-01-15,"TRIANO'S PIZZA","6758 W ARCHER AVE 1ST","CHICAGO","IL","60638","23","w_23_p_47","8","Retail Food Establishment",41.7922671220746,-87.7915186789166,"(41.79226712207461, -87.79151867891662)",0,6.92328767123288,0,0,0,0,0,0,0,0,0,0,0,31.22,7.91333333333333,0.656666666666667,8.34826007107473,10.7759539216723,9.00077619993477
"33","1230142","10400","Grocery Store","Risk 1 (High)",2012-07-17,"Canvass","Pass w/ Conditions",0,1,0,5,0,0,2,3,1.8027397260274,0,2006-11-16,2013-10-15,2011-11-09,2011-10-16,2013-10-15,"MIARA'S BAKERY DELI, WINE AND LIQUOR, INC.","7051-7053 W ADDISON ST 1ST","CHICAGO","IL","60634","36","w_36_p_7","16","Retail Food Establishment",41.9452338230796,-87.8029266385397,"(41.945233823079576, -87.80292663853972)",1,5.67111872146119,0,1,1,1,0,0,0,0,0,0,0,88.6466666666667,7.45333333333333,0.596666666666667,11.5091475914023,26.3439987681524,44.6297909903438
"34","1329235","10400","Grocery Store","Risk 1 (High)",2013-04-05,"Canvass","Fail",0,0,1,7,0,1,0,5,0.717808219178082,0,2006-11-16,2013-10-15,2011-11-09,2011-10-16,2013-10-15,"MIARA'S BAKERY DELI, WINE AND LIQUOR, INC.","7051-7053 W ADDISON ST 1ST","CHICAGO","IL","60634","36","w_36_p_7","16","Retail Food Establishment",41.9452338230796,-87.8029266385397,"(41.945233823079576, -87.80292663853972)",0,6.38892694063927,0,1,1,1,0,0,0,0,0,0,0,46.8466666666667,8.49,0.433333333333333,13.6991771036552,26.2582267977369,14.7065064484273
"37","659640","1042285","Grocery Store","Risk 1 (High)",2011-12-09,"Canvass","Fail",0,2,3,0,0,0,0,6,1.52054794520548,0,2006-11-16,2015-11-15,2011-10-25,2011-11-16,2013-11-15,"RIO GRANDE FRUIT MARKET, INC.","3501 W NORTH AVE 1","CHICAGO","IL","60647","26","w_26_p_18","14","Retail Food Establishment",41.9099107050822,-87.714385510212,"(41.909910705082176, -87.71438551021203)",1,5.06575342465753,0,1,1,0,0,0,0,0,0,0,0,35.8666666666667,10.35,0.65,27.5678553885145,25.3571605359144,42.9901219075418
"41","517503","1042702","Restaurant","Risk 1 (High)",2011-09-06,"Canvass","Pass w/ Conditions",0,1,1,7,0,0,0,2,1.02739726027397,0,2006-05-16,2015-04-15,2011-04-13,2011-04-16,2013-04-15,"CROSSROADS PUBLIC HOUSE","2630 N CLARK ST","CHICAGO","IL","60614","43","w_43_p_45","19","Retail Food Establishment",41.9304120095948,-87.6438865291044,"(41.93041200959479, -87.6438865291044)",1,5.31232876712329,1,0,0,0,0,0,0,0,0,0,0.00046,72.5,12.2433333333333,0.67,20.5903298821682,65.5416135566088,9.7733771369888
